('56757', 1)
('17582', 2)
('92028', 36)
('55353', 3)
('55021', 3)
('56320', 4)
('65663', 25)
('95667', 5)
('17331', 4)
('24558', 2)
('93241', 3)
('94124', 4)
('17872', 2)
('68333', 1)
('01210', 1)
('02921', 1)
('06260', 2)
('18707', 1)
('04966', 4)
('12810', 1)
('94571', 2)
('81101', 6)
('02865', 1)
('19153', 1)
('02717', 1)
('40014', 3)
('29574', 4)
('29512', 1)
('97114', 4)
('91750', 1)
('92651', 1)
('48220', 1)
('54758', 12)
('27330', 10)
('15501', 6)
('58237', 1)
('19446', 3)
('46221', 1)
('07036', 3)
('92283', 2)
('80103', 4)
('27208', 3)
('60515', 1)
('92126', 2)
('96778', 2)
('65301', 9)
('95465', 3)
('14519', 2)
('61570', 1)
('94530', 1)
('62704', 4)
('28458', 5)
('17040', 2)
('90640', 1)
('56220', 2)
('17889', 3)
('04640', 1)
('49241', 5)
('11222', 2)
('94083', 1)
('81144', 10)
('14897', 1)
('92004', 2)
('82054', 13)
('93908', 26)
('04910', 7)
('06441', 1)
('93105', 1)
('92027', 5)
('54619', 60)
('29135', 1)
('56524', 1)
('89412', 4)
('89523', 1)
('54664', 10)
('56464', 2)
('61523', 1)
('85382', 1)
('12154', 2)
('23834', 1)
('92064', 1)
('91406', 2)
('07004', 4)
('03833', 4)
('92084', 4)
('53955', 1)
('14850', 10)
('13661', 2)
('43554', 1)
('13748', 1)
('58012', 3)
('04938', 8)
('90703', 2)
('80652', 3)
('48393', 1)
('20009', 3)
('13801', 1)
('56267', 4)
('65275', 2)
('55008', 5)
('13315', 2)
('13825', 2)
('61361', 2)
('14860', 5)
('13152', 3)
('43537', 1)
('60060', 2)
('11235', 2)
('83202', 1)
('97231', 1)
('56345', 4)
('56515', 2)
('13355', 3)
('93612', 2)
('48066', 1)
('12155', 4)
('97838', 9)
('13681', 5)
('10918', 2)
('21152', 1)
('49725', 1)
('49774', 2)
('55106', 3)
('04496', 3)
('16936', 4)
('95461', 3)
('01463', 1)
('04973', 1)
('10530', 1)
('02769', 2)
('97914', 2)
('60083', 1)
('27316', 4)
('93460', 7)
('97116', 4)
('49663', 4)
('07716', 2)
('17540', 8)
('10962', 1)
('90813', 1)
('53805', 10)
('60030', 4)
('55051', 5)
('13843', 5)
('95441', 4)
('68428', 2)
('36089', 2)
('80302', 2)
('72101', 3)
('56440', 6)
('15086', 1)
('92833', 2)
('95648', 5)
('12832', 2)
('13811', 1)
('32724', 1)
('56750', 1)
('76653', 1)
('44062', 15)
('93433', 1)
('93445', 1)
('17325', 5)
('04259', 3)
('59840', 2)
('50441', 4)
('20837', 2)
('62263', 1)
('56229', 2)
('93727', 4)
('83672', 1)
('81403', 2)
('61911', 9)
('03301', 1)
('72173', 1)
('84631', 1)
('1239', 1)
('27886', 2)
('16828', 3)
('81621', 2)
('04352', 3)
('02186', 1)
('06776', 1)
('12572', 1)
('84314', 1)
('01741', 2)
('17045', 2)
('06076', 2)
('93001', 1)
('16932', 1)
('07461', 3)
('48626', 2)
('65011', 4)
('78748', 1)
('92860', 2)
('86322', 2)
('89511', 1)
('13634', 1)
('55974', 5)
('21657', 1)
('95242', 2)
('17576', 1)
('01346', 1)
('95376', 2)
('18434', 1)
('56164', 4)
('92020', 2)
('12526', 1)
('95320', 5)
('77665', 7)
('53208', 2)
('95691', 6)
('84404', 3)
('81082', 1)
('84651', 1)
('94551', 2)
('45317', 1)
('97128', 8)
('13856', 1)
('15552', 12)
('55744', 1)
('73460', 2)
('27317', 3)
('56438', 5)
('04671', 1)
('14468', 1)
('24060', 2)
('93267', 2)
('32640', 4)
('93427', 3)
('85396', 1)
